tv_id,smuggle_url,success,rst,blockpage,timeout_afterhs,timeout_beforehs,other,cn_success_rate
CL-XX-9d-9d-XX-CL.TE,www.uyghurnet.org/,1,64,0,35,0,0,0.01
CL-f1-f1-XX-XX-CL.TE,www.uyghurnet.org/,1,75,0,24,0,0,0.01
CL-f5-XX-XX-f5-CL.TE,freetibet.org/,1,78,0,21,0,0,0.01
TE-bd-XX-bd-XX-TE.CL,www.uyghurnet.org/,1,69,0,30,0,0,0.01
TE-XX-10-10-XX-TE.CL,www.uyghurnet.org/,1,78,0,21,0,0,0.01
CL-XX-c2-XX-c2-CL.TE,www.uyghurnet.org/,1,75,0,24,0,0,0.01
CL-XX-02-02-XX-CL.TE,www.uyghurnet.org/,1,73,0,26,0,0,0.01
CL-endspacerx-ff-CL.TE,www.uyghurnet.org/,1,70,0,29,0,0,0.01
TE-ed-ed-XX-XX-TE.CL,freetibet.org/,1,72,0,27,0,0,0.01
CL-XX-XX-06-06-CL.TE,freetibet.org/,1,86,0,13,0,0,0.01
CL-13-XX-13-XX-CL.TE,www.uyghurnet.org/,1,71,0,28,0,0,0.01
TE-c6-XX-XX-c6-TE.CL,www.uyghurnet.org/,1,78,0,21,0,0,0.01
TE-88-XX-88-XX-TE.CL,freetibet.org/,1,76,0,23,0,0,0.01
CL-XX-XX-e0-e0-CL.TE,freetibet.org/,1,74,0,25,0,0,0.01
TE-endspacexn-0d-CL.TE,www.uyghurnet.org/,1,74,0,25,0,0,0.01
CL-XX-b5-b5-XX-CL.TE,freetibet.org/,1,76,0,23,0,0,0.01
CL-postspace-a0-CL.TE,freetibet.org/,1,73,0,26,0,0,0.01
TE-86-XX-86-XX-TE.CL,freetibet.org/,1,77,0,22,0,0,0.01
CL-XX-86-XX-86-CL.TE,freetibet.org/,1,71,0,28,0,0,0.01
CL-f4-f4-XX-XX-CL.TE,www.uyghurnet.org/,1,79,0,20,0,0,0.01
TE-be-XX-XX-be-TE.CL,freetibet.org/,1,74,0,25,0,0,0.01
CL-1a-1a-XX-XX-CL.TE,www.uyghurnet.org/,1,74,0,25,0,0,0.01
TE-b9-b9-XX-XX-TE.CL,freetibet.org/,1,78,0,21,0,0,0.01
CL-xprespace-01-CL.TE,freetibet.org/,1,75,0,24,0,0,0.01
CL-c4-c4-XX-XX-CL.TE,www.uyghurnet.org/,1,77,0,22,0,0,0.01
CL-endspacex-20-CL.TE,freetibet.org/,1,75,0,24,0,0,0.01
CL-XX-1d-XX-1d-CL.TE,freetibet.org/,1,74,0,25,0,0,0.01
CL-c0-XX-XX-c0-CL.TE,www.uyghurnet.org/,1,71,0,28,0,0,0.01
TE-a4-XX-a4-XX-TE.CL,www.uyghurnet.org/,1,70,0,29,0,0,0.01
CL-XX-0c-XX-0c-CL.TE,www.uyghurnet.org/,1,76,0,23,0,0,0.01
CL-XX-e8-e8-XX-CL.TE,www.uyghurnet.org/,1,72,0,27,0,0,0.01
CL-XX-9e-9e-XX-CL.TE,freetibet.org/,1,74,0,25,0,0,0.01
TE-ce-XX-ce-XX-TE.CL,www.uyghurnet.org/,1,71,0,28,0,0,0.01
